Municipality,ISTAT Code,Cadastral Code,Year of Construction,Climate Zone,Winter Energy,Sanitary Energy,Global Energy Location,Non-Renewable Global Energy Performance,Renewable Global Energy Performance,Degree Days,CO2 Emission,ID
Nago-Torbole,22124,248,1960,E,60.28,29.44,87.6,0.0,0.0,2276,18.18,1
Borgo Valsugana,22022,37,1997,E,74.53,21.57,105.41,0.0,0.0,2984,19.2,2
Dro,22079,140,1975,E,106.34,17.45,121.74,0.0,0.0,2354,25.01,3
Riva del Garda,22153,307,1982,E,114.56,37.4,148.52,0.0,0.0,2276,35.8,4
Nago-Torbole,22124,248,1970,E,159.12,24.71,179.78,0.0,0.0,2276,37.12,5
Trento,22205,406,1970,E,81.52,50.08,131.6,0.0,0.0,2567,39.42,6
Trento,22205,406,1960,E,54.78,2.87,57.64,0.0,0.0,2567,12.34,7
Trento,22205,406,1988,E,73.09,1.71,74.79,0.0,0.0,2567,15.3,8
Caldonazzo,22034,55,1900,F,124.73,13.94,155.99,0.0,0.0,3089,27.92,9
Mezzocorona,22116,230,2007,E,50.37,36.31,87.76,0.0,0.0,2835,18.0,10
Cles,22062,106,1900,F,52.81,16.09,86.49,0.0,0.0,3265,19.0,11
Trento,22205,285,1999,F,265.07,27.46,320.58,0.0,0.0,3001,59.08,12
Trento,22205,406,2000,E,75.57,29.88,105.44,0.0,0.0,2567,21.09,13
Cles,22062,106,1900,F,105.4,17.31,162.03,0.0,0.0,3265,34.0,14
Pergine Valsugana,22139,273,1800,F,181.3,24.3,237.6,0.0,0.0,3147,41.1,15
Caldonazzo,22034,55,2014,F,12.65,21.35,37.41,0.0,0.0,3089,6.9,16
Lavis,22103,185,1999,E,117.78,36.29,155.98,0.0,0.0,2784,30.78,17
Riva del Garda,22153,307,1970,E,174.5,20.2,179.9,0.0,0.0,2276,38.7,18
Riva del Garda,22153,307,1970,E,158.1,20.4,164.9,0.0,0.0,2276,35.4,19
Rumo,22163,324,1900,F,641.41,53.29,982.67,0.0,0.0,3863,300.94,20
Riva del Garda,22153,307,1970,E,167.7,20.4,173.6,0.0,0.0,2276,37.3,21
Levico Terme,22104,190,1900,F,368.03,23.1,437.95,0.0,0.0,3075,90.93,22
