Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2024-09-01,1,23,µg/mc
"Parco S. Chiara",PM10,2024-09-01,2,22,µg/mc
"Parco S. Chiara",PM10,2024-09-01,3,21,µg/mc
"Parco S. Chiara",PM10,2024-09-01,4,19,µg/mc
"Parco S. Chiara",PM10,2024-09-01,5,18,µg/mc
"Parco S. Chiara",PM10,2024-09-01,6,17,µg/mc
"Parco S. Chiara",PM10,2024-09-01,7,15,µg/mc
"Parco S. Chiara",PM10,2024-09-01,8,14,µg/mc
"Parco S. Chiara",PM10,2024-09-01,9,14,µg/mc
"Parco S. Chiara",PM10,2024-09-01,10,14,µg/mc
"Parco S. Chiara",PM10,2024-09-01,11,12,µg/mc
"Parco S. Chiara",PM10,2024-09-01,12,9,µg/mc
"Parco S. Chiara",PM10,2024-09-01,13,8,µg/mc
"Parco S. Chiara",PM10,2024-09-01,14,7,µg/mc
"Parco S. Chiara",PM10,2024-09-01,15,6,µg/mc
"Parco S. Chiara",PM10,2024-09-01,16,7,µg/mc
"Parco S. Chiara",PM10,2024-09-01,17,11,µg/mc
"Parco S. Chiara",PM10,2024-09-01,18,11,µg/mc
"Parco S. Chiara",PM10,2024-09-01,19,14,µg/mc
"Parco S. Chiara",PM10,2024-09-01,20,17,µg/mc
"Parco S. Chiara",PM10,2024-09-01,21,20,µg/mc
"Parco S. Chiara",PM10,2024-09-01,22,22,µg/mc
"Parco S. Chiara",PM10,2024-09-01,23,24,µg/mc
"Parco S. Chiara",PM10,2024-09-01,24,25,µg/mc
"Parco S. Chiara",PM10,2024-09-02,1,25,µg/mc
"Parco S. Chiara",PM10,2024-09-02,2,25,µg/mc
"Parco S. Chiara",PM10,2024-09-02,3,25,µg/mc
"Parco S. Chiara",PM10,2024-09-02,4,23,µg/mc
"Parco S. Chiara",PM10,2024-09-02,5,23,µg/mc
"Parco S. Chiara",PM10,2024-09-02,6,23,µg/mc
"Parco S. Chiara",PM10,2024-09-02,7,23,µg/mc
"Parco S. Chiara",PM10,2024-09-02,8,21,µg/mc
"Parco S. Chiara",PM10,2024-09-02,9,19,µg/mc
"Parco S. Chiara",PM10,2024-09-02,10,17,µg/mc
"Parco S. Chiara",PM10,2024-09-02,11,13,µg/mc
"Parco S. Chiara",PM10,2024-09-02,12,10,µg/mc
"Parco S. Chiara",PM10,2024-09-02,13,10,µg/mc
"Parco S. Chiara",PM10,2024-09-02,14,12,µg/mc
"Parco S. Chiara",PM10,2024-09-02,15,11,µg/mc
"Parco S. Chiara",PM10,2024-09-02,16,13,µg/mc
"Parco S. Chiara",PM10,2024-09-02,17,18,µg/mc
"Parco S. Chiara",PM10,2024-09-02,18,20,µg/mc
"Parco S. Chiara",PM10,2024-09-02,19,22,µg/mc
"Parco S. Chiara",PM10,2024-09-02,20,23,µg/mc
"Parco S. Chiara",PM10,2024-09-02,21,24,µg/mc
"Parco S. Chiara",PM10,2024-09-02,22,22,µg/mc
"Parco S. Chiara",PM10,2024-09-02,23,18,µg/mc
"Parco S. Chiara",PM10,2024-09-02,24,18,µg/mc
"Parco S. Chiara",PM10,2024-09-03,1,21,µg/mc
"Parco S. Chiara",PM10,2024-09-03,2,22,µg/mc
"Parco S. Chiara",PM10,2024-09-03,3,21,µg/mc
"Parco S. Chiara",PM10,2024-09-03,4,20,µg/mc
"Parco S. Chiara",PM10,2024-09-03,5,22,µg/mc
"Parco S. Chiara",PM10,2024-09-03,6,22,µg/mc
"Parco S. Chiara",PM10,2024-09-03,7,21,µg/mc
"Parco S. Chiara",PM10,2024-09-03,8,21,µg/mc
"Parco S. Chiara",PM10,2024-09-03,9,19,µg/mc
"Parco S. Chiara",PM10,2024-09-03,10,17,µg/mc
"Parco S. Chiara",PM10,2024-09-03,11,12,µg/mc
"Parco S. Chiara",PM10,2024-09-03,12,10,µg/mc
"Parco S. Chiara",PM10,2024-09-03,13,11,µg/mc
"Parco S. Chiara",PM10,2024-09-03,14,11,µg/mc
"Parco S. Chiara",PM10,2024-09-03,15,12,µg/mc
"Parco S. Chiara",PM10,2024-09-03,16,14,µg/mc
"Parco S. Chiara",PM10,2024-09-03,17,17,µg/mc
"Parco S. Chiara",PM10,2024-09-03,18,20,µg/mc
"Parco S. Chiara",PM10,2024-09-03,19,23,µg/mc
"Parco S. Chiara",PM10,2024-09-03,20,26,µg/mc
"Parco S. Chiara",PM10,2024-09-03,21,27,µg/mc
"Parco S. Chiara",PM10,2024-09-03,22,25,µg/mc
"Parco S. Chiara",PM10,2024-09-03,23,24,µg/mc
"Parco S. Chiara",PM10,2024-09-03,24,25,µg/mc
"Parco S. Chiara",PM10,2024-09-04,1,27,µg/mc
"Parco S. Chiara",PM10,2024-09-04,2,27,µg/mc
"Parco S. Chiara",PM10,2024-09-04,3,26,µg/mc
"Parco S. Chiara",PM10,2024-09-04,4,25,µg/mc
"Parco S. Chiara",PM10,2024-09-04,5,25,µg/mc
"Parco S. Chiara",PM10,2024-09-04,6,24,µg/mc
"Parco S. Chiara",PM10,2024-09-04,7,23,µg/mc
"Parco S. Chiara",PM10,2024-09-04,8,22,µg/mc
"Parco S. Chiara",PM10,2024-09-04,9,20,µg/mc
"Parco S. Chiara",PM10,2024-09-04,10,21,µg/mc
"Parco S. Chiara",PM10,2024-09-04,11,22,µg/mc
"Parco S. Chiara",PM10,2024-09-04,12,21,µg/mc
"Parco S. Chiara",PM10,2024-09-04,13,22,µg/mc
"Parco S. Chiara",PM10,2024-09-04,14,19,µg/mc
"Parco S. Chiara",PM10,2024-09-04,15,14,µg/mc
"Parco S. Chiara",PM10,2024-09-04,16,13,µg/mc
"Parco S. Chiara",PM10,2024-09-04,17,15,µg/mc
"Parco S. Chiara",PM10,2024-09-04,18,20,µg/mc
