_id,anno,codEnte,valore,
1,2004,1001,9024.5,
2,2004,1002,2842.5,
3,2004,1003,5751.9,
4,2004,1004,17306.1,
5,2004,1005,2735.0,
6,2004,1006,8634.3,
7,2004,1007,8032.1,
8,2004,1008,17262.4,
9,2004,1009,19917.6,
10,2004,1010,27926.1,
11,2004,1011,6083.6,
12,2004,1012,3123.8,
13,2004,1013,5745.5,
14,2004,1014,3178.8,
15,2004,1015,36808.0,
16,2004,1016,2930.2,
17,2004,9999,177302.5,
18,2005,1001,6527.5,
19,2005,1002,1876.0,
20,2005,1003,5079.8,
21,2005,1004,11932.6,
22,2005,1005,2513.8,
23,2005,1006,7806.4,
24,2005,1007,7462.6,
25,2005,1008,15711.7,
26,2005,1009,19130.5,
27,2005,1010,19561.1,
28,2005,1011,6009.2,
29,2005,1012,3060.9,
30,2005,1013,5954.7,
31,2005,1014,2677.8,
32,2005,1015,32817.8,
33,2005,1016,2427.0,
34,2005,9999,150549.3,
35,2006,1001,2509.1,
36,2006,1002,1936.2,
37,2006,1003,4589.9,
38,2006,1004,9832.7,
39,2006,1005,2261.9,
40,2006,1006,6523.0,
41,2006,1007,6581.8,
42,2006,1008,14315.4,
43,2006,1009,16812.0,
44,2006,1010,18056.2,
45,2006,1011,4083.8,
46,2006,1012,2002.1,
47,2006,1013,5744.7,
48,2006,1014,2553.1,
49,2006,1015,31771.7,
50,2006,1016,2058.3,
51,2006,9999,131631.6,
52,2007,1001,2664.0,
53,2007,1002,1610.0,
54,2007,1003,4540.0,
55,2007,1004,6411.0,
56,2007,1005,1935.0,
57,2007,1006,6151.0,
58,2007,1007,5663.0,
59,2007,1008,11783.0,
60,2007,1009,16411.0,
61,2007,1010,15153.0,
62,2007,1011,4428.0,
63,2007,1012,1981.0,
64,2007,1013,3959.0,
65,2007,1014,2361.0,
66,2007,1015,30362.0,
67,2007,1016,1807.0,
68,2007,9999,117219.0,
69,2008,1001,2419.0,
70,2008,1002,2066.0,
71,2008,1003,4105.0,
72,2008,1004,6483.0,
73,2008,1005,1050.0,
74,2008,1006,6122.0,
75,2008,1007,5118.0,
76,2008,1008,10730.0,
77,2008,1009,15818.0,
78,2008,1010,14781.0,
79,2008,1011,3923.0,
80,2008,1012,1675.0,
81,2008,1013,3555.0,
82,2008,1014,2208.0,
83,2008,1015,28057.0,
84,2008,1016,1243.0,
85,2008,9999,109353.0,
86,2009,1001,2583.0,
87,2009,1002,2018.0,
88,2009,1003,3748.0,
89,2009,1004,7421.0,
90,2009,1005,870.0,
91,2009,1006,6064.0,
92,2009,1007,5261.0,
93,2009,1008,11362.0,
94,2009,1009,14265.0,
95,2009,1010,14898.0,
96,2009,1011,4201.0,
97,2009,1012,1949.0,
98,2009,1013,3716.0,
99,2009,1014,1491.0,
100,2009,1015,25997.0,
101,2009,1016,742.0,
102,2009,9999,106586.0,
103,2010,1001,2485.0,
104,2010,1002,1908.7,
105,2010,1003,3759.1,
106,2010,1004,7086.7,
107,2010,1005,768.6,
108,2010,1006,6024.9,
109,2010,1007,5181.4,
110,2010,1008,10361.2,
111,2010,1009,13476.7,
112,2010,1010,15443.1,
113,2010,1011,3883.4,
114,2010,1012,2037.1,
115,2010,1013,3737.8,
116,2010,1014,1279.2,
117,2010,1015,23543.5,
118,2010,1016,724.0,
119,2010,9999,101700.4,
120,2011,1001,2443.0,
121,2011,1002,1650.3,
122,2011,1003,3656.8,
123,2011,1004,6767.9,
124,2011,1005,900.0,
125,2011,1006,5870.8,
126,2011,1007,4842.0,
127,2011,1008,8236.1,
128,2011,1009,13460.6,
129,2011,1010,16132.3,
130,2011,1011,3807.9,
131,2011,1012,2671.4,
132,2011,1013,3718.6,
133,2011,1014,1340.9,
134,2011,1015,20917.5,
135,2011,1016,839.5,
136,2011,9999,97255.6,
