ID,Year,Waste Comapny Code,Value,Type
1,2004,1001,3186.5,Differentiated
2,2004,1002,3200.9,Differentiated
3,2004,1003,3531.7,Differentiated
4,2004,1004,8619.3,Differentiated
5,2004,1005,949.1,Differentiated
6,2004,1006,8708.6,Differentiated
7,2004,1007,3068.6,Differentiated
8,2004,1008,7624.5,Differentiated
9,2004,1009,10177.1,Differentiated
10,2004,1010,12451.3,Differentiated
11,2004,1011,3375.7,Differentiated
12,2004,1012,1177.4,Differentiated
13,2004,1013,8048.5,Differentiated
14,2004,1014,1414.0,Differentiated
15,2004,1015,23152.3,Differentiated
16,2004,1016,817.2,Differentiated
17,2004,9999,99502.5,Differentiated
18,2005,1001,5316.3,Differentiated
19,2005,1002,3738.3,Differentiated
20,2005,1003,3906.9,Differentiated
21,2005,1004,11146.6,Differentiated
22,2005,1005,1138.6,Differentiated
23,2005,1006,9469.9,Differentiated
24,2005,1007,3629.0,Differentiated
25,2005,1008,9018.2,Differentiated
26,2005,1009,11283.3,Differentiated
27,2005,1010,19178.0,Differentiated
28,2005,1011,4137.3,Differentiated
29,2005,1012,1657.0,Differentiated
30,2005,1013,8113.5,Differentiated
31,2005,1014,1931.3,Differentiated
32,2005,1015,27221.6,Differentiated
33,2005,1016,1145.7,Differentiated
34,2005,9999,122031.5,Differentiated
35,2006,1001,8145.2,Differentiated
36,2006,1002,3991.3,Differentiated
37,2006,1003,5206.3,Differentiated
38,2006,1004,13388.7,Differentiated
39,2006,1005,1532.8,Differentiated
40,2006,1006,10437.0,Differentiated
41,2006,1007,4062.5,Differentiated
42,2006,1008,10165.2,Differentiated
43,2006,1009,13602.1,Differentiated
44,2006,1010,20009.1,Differentiated
45,2006,1011,5179.1,Differentiated
46,2006,1012,2255.0,Differentiated
47,2006,1013,8432.5,Differentiated
48,2006,1014,2346.4,Differentiated
49,2006,1015,29356.4,Differentiated
50,2006,1016,1504.3,Differentiated
51,2006,9999,139614.0,Differentiated
52,2007,1001,8563.0,Differentiated
53,2007,1002,4011.0,Differentiated
54,2007,1003,6166.0,Differentiated
55,2007,1004,13162.0,Differentiated
56,2007,1005,1441.0,Differentiated
57,2007,1006,10563.0,Differentiated
58,2007,1007,3805.0,Differentiated
59,2007,1008,10518.0,Differentiated
60,2007,1009,14649.0,Differentiated
61,2007,1010,21023.0,Differentiated
62,2007,1011,3989.0,Differentiated
63,2007,1012,2150.0,Differentiated
64,2007,1013,8149.0,Differentiated
65,2007,1014,2025.0,Differentiated
66,2007,1015,31299.0,Differentiated
67,2007,1016,1460.0,Differentiated
68,2007,9999,142973.0,Differentiated
69,2008,1001,8955.0,Differentiated
70,2008,1002,4108.0,Differentiated
71,2008,1003,6416.0,Differentiated
72,2008,1004,15456.0,Differentiated
73,2008,1005,2186.0,Differentiated
74,2008,1006,11324.0,Differentiated
75,2008,1007,5094.0,Differentiated
76,2008,1008,13043.0,Differentiated
77,2008,1009,15977.0,Differentiated
78,2008,1010,22389.0,Differentiated
79,2008,1011,5742.0,Differentiated
80,2008,1012,2224.0,Differentiated
81,2008,1013,9739.0,Differentiated
82,2008,1014,2578.0,Differentiated
83,2008,1015,33693.0,Differentiated
84,2008,1016,2150.0,Differentiated
85,2008,9999,161074.0,Differentiated
86,2009,1001,9064.0,Differentiated
